id,name,agency_name,position_title_1,position_title_2,position_title_3,grade_level,start_date,end_date,former_org_name,former_org_role,former_org_description,financial_disclosure_url,departed,story_text,story_block,source_url
368,Robert Charrow,Health and Human Services,General Counsel,,,,12/21/17,,"Greenberg Traurig, LLP",compensation_source,Shareholder providing legal services,https://www.documentcloud.org/documents/4387634-Robert-Charrow-Financial-Disclosure.html,,"Has shares in Greenberg Traurig, which has represented the biotech company Intrexon Corporation.",,Warren Report Card
369,Robert Charrow,Health and Human Services,General Counsel,,,,12/21/17,,"Advantage Care Physicians, PC",compensation_source,Legal Services,https://www.documentcloud.org/documents/4387634-Robert-Charrow-Financial-Disclosure.html,,"Has shares in Greenberg Traurig, which has represented the biotech company Intrexon Corporation.",,Warren Report Card
370,Robert Charrow,Health and Human Services,General Counsel,,,,12/21/17,,American Psychiatric Assn,compensation_source,Legal Services,https://www.documentcloud.org/documents/4387634-Robert-Charrow-Financial-Disclosure.html,,"Has shares in Greenberg Traurig, which has represented the biotech company Intrexon Corporation.",,Warren Report Card
443,John J. Bartrum,Health and Human Services,Assistant Secretary for Financial Resources,,,,,,Squire Patton Boggs LLP (US),compensation_source,"Partner, Attorney",https://www.documentcloud.org/documents/4388420-John-J-Bartrum-Financial-Disclosure.html,,,,Warren Report Card
444,John J. Bartrum,Health and Human Services,Assistant Secretary for Financial Resources,,,,,,Management & Training Corp (MTC),compensation_source,Legal and Lobbying Services,https://www.documentcloud.org/documents/4388420-John-J-Bartrum-Financial-Disclosure.html,,,,Warren Report Card
445,John J. Bartrum,Health and Human Services,Assistant Secretary for Financial Resources,,,,,,Micropact,compensation_source,Legal and Lobbying Services,https://www.documentcloud.org/documents/4388420-John-J-Bartrum-Financial-Disclosure.html,,,,Warren Report Card
452,David P. Pekoske,Homeland Security,Assistant Secretary for Transportation Security Administration,,,,8/3/17,,Pacific Architects and Engineers (PAE),compensation_source,"Vice-President, National Programs",https://www.documentcloud.org/documents/4387798-David-P-Pekoske-Financial-Disclosure.html,,Former executive at a company specializing in counter-terrorism products.,,Warren Report Card
453,David P. Pekoske,Homeland Security,Assistant Secretary for Transportation Security Administration,,,,8/3/17,,American University,compensation_source,"Adjunct Professional Lecturer, Department of Public Administration and Policy, Key Executive Leadership Program",https://www.documentcloud.org/documents/4387798-David-P-Pekoske-Financial-Disclosure.html,,Former executive at a company specializing in counter-terrorism products.,,Warren Report Card
454,David P. Pekoske,Homeland Security,Assistant Secretary for Transportation Security Administration,,,,8/3/17,,A-T Solutions,compensation_source,"Group President, National Security Group",https://www.documentcloud.org/documents/4387798-David-P-Pekoske-Financial-Disclosure.html,,Former executive at a company specializing in counter-terrorism products.,,Warren Report Card
455,Peter Louis Oppenheim,Education,Assistant Secretary for Legislation and Congressional Affairs,,,,8/3/17,,"Republic Foods, Inc.",compensation_source,Director,https://www.documentcloud.org/documents/4388378-Peter-Louis-Oppenheim-Financial-Disclosure.html,,,,Warren Report Card
456,Scott Pruitt,Environmental Protection Agency,Administrator,,,,2/17/17,,State of Oklahoma,compensation_source,Attorney General,https://www.documentcloud.org/documents/4387764-Scott-Pruitt-Financial-Disclosure.html,,,,
